,code,pred,prob
8723,QUERY ON CURRENT APPOINTMENT,MEDICATION RELATED,0.30223322
9169,MEDICATION RELATED,OTHERS,0.34843528
10319,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",CHANGE OF PROVIDER,0.2673245
5092,MEDICATION RELATED,MEDICATION RELATED,0.49570826
1457,OTHERS,MEDICATION RELATED,0.30223322
9729,OTHERS,OTHERS,0.34843528
4758,CANCELLATION,QUERY ON CURRENT APPOINTMENT,0.6473361
5987,NEW APPOINTMENT,NEW APPOINTMENT,0.97980917
1036,MEDICATION RELATED,MEDICATION RELATED,0.48472807
9532,REFILL,REFILL,0.95083374
6984,MEDICATION RELATED,MEDICATION RELATED,0.3627121
3904,MEDICATION RELATED,OTHERS,0.34595937
10677,CANCELLATION,NEW APPOINTMENT,0.43589815
842,REFILL,REFILL,0.9991116
10220,"SHARING OF LAB RECORDS (FAX, E-MAIL, ETC.)",LAB RESULTS,0.9573229
1726,REFILL,REFILL,0.93897486
588,"SHARING OF LAB RECORDS (FAX, E-MAIL, ETC.)",MEDICATION RELATED,0.8205883
9669,FOLLOW UP ON PREVIOUS REQUEST,PROVIDER,0.32797047
4619,CANCELLATION,NEW APPOINTMENT,0.6737116
2873,LAB RESULTS,LAB RESULTS,0.46251684
6622,NEW APPOINTMENT,NEW APPOINTMENT,0.9829541
2328,QUERIES FROM PHARMACY,MEDICATION RELATED,0.37282705
345,CHANGE OF PROVIDER,NEW APPOINTMENT,0.36327162
4792,OTHERS,OTHERS,0.34843528
5696,"SHARING OF LAB RECORDS (FAX, E-MAIL, ETC.)","SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",0.5152096
6442,REFILL,REFILL,0.9758453
7585,MEDICATION RELATED,MEDICATION RELATED,0.723938
4451,REFILL,MEDICATION RELATED,0.6636745
8204,REFILL,REFILL,0.9937689
9718,PROVIDER,NEW APPOINTMENT,0.354833
4991,QUERIES FROM INSURANCE FIRM,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",0.52003336
7117,OTHERS,NEW APPOINTMENT,0.6389866
4653,RESCHEDULING,NEW APPOINTMENT,0.542914
792,MEDICATION RELATED,MEDICATION RELATED,0.37625304
10096,LAB RESULTS,LAB RESULTS,0.9085261
9391,OTHERS,NEW APPOINTMENT,0.5976845
8349,REFILL,REFILL,0.9960246
3596,QUERY ON CURRENT APPOINTMENT,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",0.3747104
10403,NEW APPOINTMENT,NEW APPOINTMENT,0.9842552
1615,OTHERS,NEW APPOINTMENT,0.3029382
10430,NEW APPOINTMENT,NEW APPOINTMENT,0.98139864
3343,REFILL,REFILL,0.8762494
7131,OTHERS,MEDICATION RELATED,0.59376276
3624,MEDICATION RELATED,MEDICATION RELATED,0.6510842
4677,REFILL,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",0.6439106
1763,LAB RESULTS,LAB RESULTS,0.66370356
2276,QUERIES FROM PHARMACY,REFILL,0.86420304
10467,LAB RESULTS,REFILL,0.8003004
10748,NEW APPOINTMENT,NEW APPOINTMENT,0.4755064
2340,MEDICATION RELATED,MEDICATION RELATED,0.4697018
9271,NEW APPOINTMENT,NEW APPOINTMENT,0.71492344
6087,REFILL,MEDICATION RELATED,0.64302766
5701,REFILL,REFILL,0.87008035
6775,MEDICATION RELATED,MEDICATION RELATED,0.628315
5566,REFILL,REFILL,0.9988009
10528,PROVIDER,OTHERS,0.255398
9078,NEW APPOINTMENT,REFILL,0.602809
5240,"SHARING OF LAB RECORDS (FAX, E-MAIL, ETC.)",LAB RESULTS,0.67497
9072,MEDICATION RELATED,MEDICATION RELATED,0.9015122
8346,NEW APPOINTMENT,NEW APPOINTMENT,0.40842932
689,NEW APPOINTMENT,NEW APPOINTMENT,0.9842552
9954,MEDICATION RELATED,MEDICATION RELATED,0.30383632
6682,OTHERS,OTHERS,0.34843528
9555,PROVIDER,PROVIDER,0.22814165
487,MEDICATION RELATED,RUNNING LATE TO APPOINTMENT,0.2234581
1266,NEW APPOINTMENT,MEDICATION RELATED,0.24995078
8055,PROVIDER,MEDICATION RELATED,0.47663695
5537,NEW APPOINTMENT,NEW APPOINTMENT,0.98216736
5921,MEDICATION RELATED,REFILL,0.74215716
2455,NEW APPOINTMENT,NEW APPOINTMENT,0.9916476
8315,NEW APPOINTMENT,MEDICATION RELATED,0.683324
7606,NEW APPOINTMENT,MEDICATION RELATED,0.25165063
1055,MEDICATION RELATED,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",0.29328376
3745,REFILL,MEDICATION RELATED,0.42022356
7854,NEW APPOINTMENT,NEW APPOINTMENT,0.90313023
7978,OTHERS,MEDICATION RELATED,0.30223322
4821,PRIOR AUTHORIZATION,MEDICATION RELATED,0.48174724
4464,RUNNING LATE TO APPOINTMENT,RUNNING LATE TO APPOINTMENT,0.96847814
409,NEW APPOINTMENT,NEW APPOINTMENT,0.61736315
2516,REFILL,REFILL,0.602809
4800,NEW APPOINTMENT,NEW APPOINTMENT,0.9842552
4406,CHANGE OF PROVIDER,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",0.68169403
2092,REFILL,REFILL,0.98807293
1514,PRIOR AUTHORIZATION,MEDICATION RELATED,0.3847465
10342,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",MEDICATION RELATED,0.47301948
1609,NEW APPOINTMENT,NEW APPOINTMENT,0.69855887
9131,REFILL,REFILL,0.75852036
4458,MEDICATION RELATED,MEDICATION RELATED,0.19213966
7871,FOLLOW UP ON PREVIOUS REQUEST,PRIOR AUTHORIZATION,0.2992116
2001,OTHERS,REFILL,0.36260256
503,LAB RESULTS,NEW APPOINTMENT,0.32881337
1832,QUERIES FROM PHARMACY,MEDICATION RELATED,0.43160295
262,"SHARING OF LAB RECORDS (FAX, E-MAIL, ETC.)","SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",0.24406262
2940,MEDICATION RELATED,REFILL,0.71943146
97,REFILL,REFILL,0.70136243
326,LAB RESULTS,LAB RESULTS,0.80813575
4350,LAB RESULTS,LAB RESULTS,0.69985133
9810,FOLLOW UP ON PREVIOUS REQUEST,PROVIDER,0.32797047
1471,QUERY ON CURRENT APPOINTMENT,MEDICATION RELATED,0.40928972
677,MEDICATION RELATED,MEDICATION RELATED,0.845057
8594,MEDICATION RELATED,REFILL,0.52332574
1596,REFILL,REFILL,0.4440244
6,SYMPTOMS,MEDICATION RELATED,0.34691873
706,REFILL,REFILL,0.63687205
2332,RESCHEDULING,MEDICATION RELATED,0.32296804
10224,NEW APPOINTMENT,NEW APPOINTMENT,0.914108
9047,REFILL,REFILL,0.9185902
4754,SYMPTOMS,MEDICATION RELATED,0.5417661
6677,REFILL,QUERIES FROM PHARMACY,0.72796535
1538,SYMPTOMS,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",0.35877392
6781,PRIOR AUTHORIZATION,MEDICATION RELATED,0.69441444
6953,CANCELLATION,NEW APPOINTMENT,0.8420072
9375,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",MEDICATION RELATED,0.55235803
8267,NEW APPOINTMENT,QUERY ON CURRENT APPOINTMENT,0.67465603
4676,MEDICATION RELATED,MEDICATION RELATED,0.3841773
4895,MEDICATION RELATED,MEDICATION RELATED,0.39103153
10466,MEDICATION RELATED,OTHERS,0.32312912
9524,MEDICATION RELATED,MEDICATION RELATED,0.30223322
9570,OTHERS,MEDICATION RELATED,0.5413544
504,MEDICATION RELATED,MEDICATION RELATED,0.50213224
4465,PRIOR AUTHORIZATION,RESCHEDULING,0.40795964
6576,FOLLOW UP ON PREVIOUS REQUEST,MEDICATION RELATED,0.63863283
8754,QUERIES FROM PHARMACY,MEDICATION RELATED,0.36667493
6721,REFILL,OTHERS,0.34843528
3454,QUERIES FROM PHARMACY,MEDICATION RELATED,0.35221493
5507,LAB RESULTS,LAB RESULTS,0.9636108
1499,REFILL,MEDICATION RELATED,0.8557916
10192,OTHERS,MEDICATION RELATED,0.3642652
7894,RUNNING LATE TO APPOINTMENT,RUNNING LATE TO APPOINTMENT,0.56820667
4362,RESCHEDULING,MEDICATION RELATED,0.79584014
2213,FOLLOW UP ON PREVIOUS REQUEST,MEDICATION RELATED,0.5598061
7617,OTHERS,OTHERS,0.34843528
516,NEW APPOINTMENT,NEW APPOINTMENT,0.9642028
7400,MEDICATION RELATED,REFILL,0.73304105
5072,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",NEW APPOINTMENT,0.8259002
8937,REFILL,REFILL,0.97043645
9142,QUERIES FROM PHARMACY,QUERIES FROM PHARMACY,0.42027283
1828,PROVIDER,PROVIDER,0.2721486
9979,REFILL,REFILL,0.97363836
974,QUERIES FROM PHARMACY,PRIOR AUTHORIZATION,0.52406627
5942,MEDICATION RELATED,OTHERS,0.34843528
5640,REFILL,REFILL,0.9937593
6089,CHANGE OF PROVIDER,OTHERS,0.34843528
4611,MEDICATION RELATED,REFILL,0.77975833
4806,REFILL,REFILL,0.9976307
4480,REFILL,REFILL,0.5718775
354,PROVIDER,PRIOR AUTHORIZATION,0.25096032
1581,QUERY ON CURRENT APPOINTMENT,NEW APPOINTMENT,0.95212436
820,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",NEW APPOINTMENT,0.6737016
8318,LAB RESULTS,LAB RESULTS,0.8358421
4454,NEW APPOINTMENT,NEW APPOINTMENT,0.42382672
917,MEDICATION RELATED,OTHERS,0.36867294
4058,PROVIDER,PROVIDER,0.500502
3988,NEW APPOINTMENT,NEW APPOINTMENT,0.9842552
5233,MEDICATION RELATED,MEDICATION RELATED,0.5045078
10234,PROVIDER,OTHERS,0.255398
8023,QUERIES FROM PHARMACY,REFILL,0.44627976
9022,RESCHEDULING,MEDICATION RELATED,0.5444613
5653,REFILL,REFILL,0.985342
4395,CHANGE OF HOSPITAL,MEDICATION RELATED,0.21323735
3910,NEW APPOINTMENT,NEW APPOINTMENT,0.98902917
3324,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",MEDICATION RELATED,0.71883905
2756,REFILL,REFILL,0.9959223
6519,MEDICATION RELATED,NEW APPOINTMENT,0.19066666
1379,MEDICATION RELATED,MEDICATION RELATED,0.30223322
6119,QUERIES FROM PHARMACY,REFILL,0.26785758
5851,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",MEDICATION RELATED,0.3917648
107,MEDICATION RELATED,MEDICATION RELATED,0.64557105
1629,REFILL,REFILL,0.280542
6240,CANCELLATION,OTHERS,0.34843528
1241,REFILL,MEDICATION RELATED,0.72103494
7793,NEW APPOINTMENT,REFILL,0.43666163
2971,PROVIDER,REFILL,0.8661926
6036,MEDICATION RELATED,OTHERS,0.35202447
1524,"SHARING OF LAB RECORDS (FAX, E-MAIL, ETC.)","SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",0.3341636
3991,REFILL,REFILL,0.94805527
4711,REFILL,NEW APPOINTMENT,0.69855887
2900,RUNNING LATE TO APPOINTMENT,RUNNING LATE TO APPOINTMENT,0.96847814
7094,MEDICATION RELATED,MEDICATION RELATED,0.30223322
8729,PROVIDER,PROVIDER,0.53868306
3425,NEW APPOINTMENT,NEW APPOINTMENT,0.91549224
8600,MEDICATION RELATED,CANCELLATION,0.37997434
4250,MEDICATION RELATED,OTHERS,0.37408182
6139,REFILL,QUERIES FROM PHARMACY,0.7780748
1258,REFILL,REFILL,0.9542032
5770,OTHERS,MEDICATION RELATED,0.6707639
1308,NEW APPOINTMENT,NEW APPOINTMENT,0.90801316
6509,MEDICATION RELATED,OTHERS,0.34843528
1216,MEDICATION RELATED,MEDICATION RELATED,0.59169614
4610,NEW APPOINTMENT,NEW APPOINTMENT,0.7307804
1021,NEW APPOINTMENT,NEW APPOINTMENT,0.9840486
5726,REFILL,REFILL,0.95362616
4278,OTHERS,MEDICATION RELATED,0.5523776
4288,NEW APPOINTMENT,NEW APPOINTMENT,0.5605603
2347,REFILL,MEDICATION RELATED,0.32675296
1225,OTHERS,MEDICATION RELATED,0.62803733
5083,PRIOR AUTHORIZATION,MEDICATION RELATED,0.4493305
8563,REFILL,MEDICATION RELATED,0.48452312
9554,PROVIDER,NEW APPOINTMENT,0.36807457
1997,PROVIDER,MEDICATION RELATED,0.5407181
1124,REFILL,REFILL,0.73495907
1583,NEW APPOINTMENT,MEDICATION RELATED,0.32972673
10311,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)","SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",0.89442194
4681,NEW APPOINTMENT,REFILL,0.9830194
3490,"SHARING OF LAB RECORDS (FAX, E-MAIL, ETC.)",MEDICATION RELATED,0.6553342
879,LAB RESULTS,LAB RESULTS,0.9343985
5587,REFILL,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",0.31834963
3269,NEW APPOINTMENT,MEDICATION RELATED,0.3602943
1355,NEW APPOINTMENT,OTHERS,0.34843528
9642,LAB RESULTS,NEW APPOINTMENT,0.34419972
276,MEDICATION RELATED,FOLLOW UP ON PREVIOUS REQUEST,0.56168807
55,OTHERS,NEW APPOINTMENT,0.3125999
2280,QUERIES FROM PHARMACY,MEDICATION RELATED,0.2862385
1953,REFILL,REFILL,0.76524353
9191,REFILL,REFILL,0.85640055
8220,RESCHEDULING,MEDICATION RELATED,0.7269648
6855,QUERIES FROM PHARMACY,MEDICATION RELATED,0.43737388
7029,LAB RESULTS,"SHARING OF LAB RECORDS (FAX, E-MAIL, ETC.)",0.49605614
6251,PROVIDER,LAB RESULTS,0.6592635
5927,NEW APPOINTMENT,NEW APPOINTMENT,0.90478635
9166,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)","SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",0.43236572
10129,MEDICATION RELATED,MEDICATION RELATED,0.29517812
9257,NEW APPOINTMENT,NEW APPOINTMENT,0.92435443
947,NEW APPOINTMENT,NEW APPOINTMENT,0.57454485
8554,NEW APPOINTMENT,NEW APPOINTMENT,0.5987778
5172,MEDICATION RELATED,REFILL,0.56084573
9163,MEDICATION RELATED,OTHERS,0.51557934
5382,MEDICATION RELATED,REFILL,0.32998562
9610,OTHERS,OTHERS,0.34843528
1414,NEW APPOINTMENT,NEW APPOINTMENT,0.91884387
544,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)","SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",0.33898333
3479,MEDICATION RELATED,REFILL,0.7549377
3244,LAB RESULTS,LAB RESULTS,0.89266163
6629,REFILL,MEDICATION RELATED,0.8885682
1970,MEDICATION RELATED,OTHERS,0.38879785
6165,LAB RESULTS,LAB RESULTS,0.92233783
5099,QUERIES FROM PHARMACY,MEDICATION RELATED,0.5540832
1685,MEDICATION RELATED,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",0.5390541
7264,OTHERS,NEW APPOINTMENT,0.68122214
3172,NEW APPOINTMENT,REFILL,0.5135047
7816,NEW APPOINTMENT,NEW APPOINTMENT,0.7677213
8984,OTHERS,REFILL,0.6026083
4646,REFILL,REFILL,0.9260415
2,MEDICATION RELATED,MEDICATION RELATED,0.47110328
2308,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)","SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",0.50777185
10406,RESCHEDULING,MEDICATION RELATED,0.69062996
6985,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",REFILL,0.15326463
3462,NEW APPOINTMENT,NEW APPOINTMENT,0.8655044
4026,REFILL,NEW APPOINTMENT,0.20139517
5583,"SHARING OF LAB RECORDS (FAX, E-MAIL, ETC.)",LAB RESULTS,0.98784095
9891,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)","SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",0.28268307
4130,REFILL,REFILL,0.8762494
6211,MEDICATION RELATED,MEDICATION RELATED,0.5373653
2006,OTHERS,OTHERS,0.34843528
7044,MEDICATION RELATED,MEDICATION RELATED,0.43494907
7705,OTHERS,OTHERS,0.34843528
9140,REFILL,REFILL,0.47797447
3814,OTHERS,MEDICATION RELATED,0.37465173
8610,RESCHEDULING,NEW APPOINTMENT,0.48084524
2072,FOLLOW UP ON PREVIOUS REQUEST,OTHERS,0.36651197
2487,MEDICATION RELATED,MEDICATION RELATED,0.6026925
129,NEW APPOINTMENT,NEW APPOINTMENT,0.44904357
1555,REFILL,REFILL,0.9930091
6344,NEW APPOINTMENT,NEW APPOINTMENT,0.97566813
929,"SHARING OF LAB RECORDS (FAX, E-MAIL, ETC.)",NEW APPOINTMENT,0.3556922
3649,SYMPTOMS,MEDICATION RELATED,0.42869455
10452,OTHERS,MEDICATION RELATED,0.5085875
7468,OTHERS,MEDICATION RELATED,0.24505492
2588,QUERIES FROM PHARMACY,MEDICATION RELATED,0.7461958
10008,LAB RESULTS,LAB RESULTS,0.75263804
7735,"SHARING OF LAB RECORDS (FAX, E-MAIL, ETC.)",LAB RESULTS,0.8315982
3093,SYMPTOMS,MEDICATION RELATED,0.593032
4860,QUERIES FROM PHARMACY,REFILL,0.4804571
6742,SYMPTOMS,OTHERS,0.34843528
6162,MEDICATION RELATED,FOLLOW UP ON PREVIOUS REQUEST,0.26774368
1325,OTHERS,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",0.4542275
2352,MEDICATION RELATED,REFILL,0.6136335
6745,LAB RESULTS,OTHERS,0.5268933
9790,LAB RESULTS,REFILL,0.79913104
10474,OTHERS,OTHERS,0.34843528
8918,FOLLOW UP ON PREVIOUS REQUEST,PROVIDER,0.32797047
10602,"SHARING OF LAB RECORDS (FAX, E-MAIL, ETC.)",MEDICATION RELATED,0.5153763
4441,PRIOR AUTHORIZATION,PRIOR AUTHORIZATION,0.5621626
4674,MEDICATION RELATED,MEDICATION RELATED,0.42546692
5297,MEDICATION RELATED,MEDICATION RELATED,0.5194627
342,NEW APPOINTMENT,NEW APPOINTMENT,0.93267035
631,PROVIDER,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",0.49248046
10548,CANCELLATION,CANCELLATION,0.7917217
3427,MEDICATION RELATED,QUERIES FROM PHARMACY,0.46075213
143,REFILL,REFILL,0.8661926
6678,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",MEDICATION RELATED,0.32202756
568,REFILL,REFILL,0.9678428
1286,REFILL,REFILL,0.9623791
112,REFILL,REFILL,0.9228722
9558,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",MEDICATION RELATED,0.7421895
5436,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)","SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",0.40635183
1252,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",CHANGE OF PROVIDER,0.1980978
6090,PRIOR AUTHORIZATION,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",0.39214367
7600,MEDICATION RELATED,QUERIES FROM PHARMACY,0.44531482
9782,REFILL,OTHERS,0.34843528
1802,OTHERS,MEDICATION RELATED,0.86641014
10507,NEW APPOINTMENT,NEW APPOINTMENT,0.972099
6869,REFILL,CHANGE OF PROVIDER,0.45048755
457,NEW APPOINTMENT,NEW APPOINTMENT,0.9198125
7041,NEW APPOINTMENT,MEDICATION RELATED,0.32730016
5691,FOLLOW UP ON PREVIOUS REQUEST,MEDICATION RELATED,0.7192619
9976,MEDICATION RELATED,MEDICATION RELATED,0.69905734
4661,MEDICATION RELATED,FOLLOW UP ON PREVIOUS REQUEST,0.40090743
671,NEW APPOINTMENT,RESCHEDULING,0.45222363
2367,MEDICATION RELATED,OTHERS,0.23885697
2111,RUNNING LATE TO APPOINTMENT,RUNNING LATE TO APPOINTMENT,0.9883718
5595,QUERIES FROM PHARMACY,REFILL,0.68583107
4861,NEW APPOINTMENT,NEW APPOINTMENT,0.52349585
436,MEDICATION RELATED,MEDICATION RELATED,0.33192176
6771,PRIOR AUTHORIZATION,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",0.21443363
8463,FOLLOW UP ON PREVIOUS REQUEST,MEDICATION RELATED,0.44420767
8777,MEDICATION RELATED,MEDICATION RELATED,0.6741937
8841,MEDICATION RELATED,MEDICATION RELATED,0.43787655
428,OTHERS,REFILL,0.54274696
6515,MEDICATION RELATED,MEDICATION RELATED,0.47725207
6694,CHANGE OF PHARMACY,REFILL,0.22964604
3405,REFILL,QUERIES FROM PHARMACY,0.47316447
4025,OTHERS,MEDICATION RELATED,0.37502775
1079,PROVIDER,NEW APPOINTMENT,0.29241508
8975,MEDICATION RELATED,NEW APPOINTMENT,0.66692567
5466,OTHERS,REFILL,0.32046273
2562,NEW APPOINTMENT,NEW APPOINTMENT,0.71946305
8894,RESCHEDULING,MEDICATION RELATED,0.31185433
6864,QUERY ON CURRENT APPOINTMENT,RESCHEDULING,0.31557024
6816,PRIOR AUTHORIZATION,MEDICATION RELATED,0.34665513
1331,REFILL,REFILL,0.99897766
10485,NEW APPOINTMENT,NEW APPOINTMENT,0.9436911
9270,NEW APPOINTMENT,REFILL,0.4970456
3763,NEW APPOINTMENT,NEW APPOINTMENT,0.33490312
7345,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",MEDICATION RELATED,0.46778178
7797,RUNNING LATE TO APPOINTMENT,RUNNING LATE TO APPOINTMENT,0.9883718
5626,FOLLOW UP ON PREVIOUS REQUEST,QUERIES FROM PHARMACY,0.26189888
1194,NEW APPOINTMENT,NEW APPOINTMENT,0.6719671
7411,OTHERS,MEDICATION RELATED,0.613838
7490,QUERIES FROM PHARMACY,MEDICATION RELATED,0.30122706
202,NEW APPOINTMENT,NEW APPOINTMENT,0.9388319
9082,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",MEDICATION RELATED,0.31102753
3639,PRIOR AUTHORIZATION,MEDICATION RELATED,0.8343384
4946,OTHERS,NEW APPOINTMENT,0.8080611
10298,OTHERS,OTHERS,0.34843528
2384,NEW APPOINTMENT,LAB RESULTS,0.581688
3145,RUNNING LATE TO APPOINTMENT,RUNNING LATE TO APPOINTMENT,0.97565675
8096,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",CHANGE OF PROVIDER,0.27590126
7919,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)","SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",0.75635487
5493,CHANGE OF PROVIDER,PROVIDER,0.34371766
9650,PRIOR AUTHORIZATION,MEDICATION RELATED,0.37558678
9816,REFILL,REFILL,0.8691979
4516,REFILL,REFILL,0.9941994
9491,MEDICATION RELATED,MEDICATION RELATED,0.4816241
1159,MEDICATION RELATED,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",0.4881765
1523,REFILL,REFILL,0.35741872
9450,NEW APPOINTMENT,MEDICATION RELATED,0.5206392
8329,MEDICATION RELATED,MEDICATION RELATED,0.31424293
7166,RESCHEDULING,NEW APPOINTMENT,0.7923449
4839,NEW APPOINTMENT,NEW APPOINTMENT,0.9564283
7162,MEDICATION RELATED,RUNNING LATE TO APPOINTMENT,0.32250786
3459,QUERY ON CURRENT APPOINTMENT,MEDICATION RELATED,0.37668675
526,PROVIDER,PROVIDER,0.52575153
715,PRIOR AUTHORIZATION,MEDICATION RELATED,0.46227998
5994,LAB RESULTS,LAB RESULTS,0.91454226
7612,NEW APPOINTMENT,NEW APPOINTMENT,0.813561
4822,NEW APPOINTMENT,MEDICATION RELATED,0.21046412
5820,CHANGE OF PROVIDER,CHANGE OF PROVIDER,0.28661838
7355,REFILL,REFILL,0.9960246
8256,NEW APPOINTMENT,MEDICATION RELATED,0.65537435
2866,MEDICATION RELATED,MEDICATION RELATED,0.89845824
5362,REFILL,REFILL,0.99078256
3322,REFILL,MEDICATION RELATED,0.48363692
2795,RESCHEDULING,NEW APPOINTMENT,0.7762009
3858,REFILL,REFILL,0.995596
8015,PROVIDER,PROVIDER,0.46849892
9733,OTHERS,MEDICATION RELATED,0.8293416
2426,MEDICATION RELATED,MEDICATION RELATED,0.76634854
1411,OTHERS,OTHERS,0.34843528
