,class,pred_1,prob_1,pred_2,prob_2
588,"SHARING OF LAB RECORDS (FAX, E-MAIL, ETC.)",MEDICATION RELATED,0.8205883,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",0.87516695
9669,FOLLOW UP ON PREVIOUS REQUEST,PROVIDER,0.32797047,FOLLOW UP ON PREVIOUS REQUEST,0.9917498
4619,CANCELLATION,NEW APPOINTMENT,0.6737116,QUERY ON CURRENT APPOINTMENT,0.47070768
2873,LAB RESULTS,LAB RESULTS,0.46251684,LAB RESULTS,0.92127925
6622,NEW APPOINTMENT,NEW APPOINTMENT,0.9829541,NEW APPOINTMENT,0.93767315
2328,QUERIES FROM PHARMACY,MEDICATION RELATED,0.37282705,QUERIES FROM PHARMACY,0.807602
345,CHANGE OF PROVIDER,NEW APPOINTMENT,0.36327162,CHANGE OF PROVIDER,0.26524517
4792,OTHERS,OTHERS,0.34843528,OTHERS,0.36598822
5696,"SHARING OF LAB RECORDS (FAX, E-MAIL, ETC.)","SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",0.5152096,"SHARING OF LAB RECORDS (FAX, E-MAIL, ETC.)",0.39469162
6442,REFILL,REFILL,0.9758453,REFILL,0.67195284
7585,MEDICATION RELATED,MEDICATION RELATED,0.723938,SYMPTOMS,0.66591185
4451,REFILL,MEDICATION RELATED,0.6636745,REFILL,0.7889077
8204,REFILL,REFILL,0.9937689,REFILL,0.970335
9718,PROVIDER,NEW APPOINTMENT,0.354833,PROVIDER,0.9353376
4991,QUERIES FROM INSURANCE FIRM,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",0.52003336,QUERIES FROM PHARMACY,0.6143749
7117,OTHERS,NEW APPOINTMENT,0.6389866,NEW APPOINTMENT,0.9478918
4653,RESCHEDULING,NEW APPOINTMENT,0.542914,NEW APPOINTMENT,0.25037357
792,MEDICATION RELATED,MEDICATION RELATED,0.37625304,MEDICATION RELATED,0.36930543
10096,LAB RESULTS,LAB RESULTS,0.9085261,LAB RESULTS,0.9878961
9391,OTHERS,NEW APPOINTMENT,0.5976845,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",0.42609707
8349,REFILL,REFILL,0.9960246,REFILL,0.9898712
3596,QUERY ON CURRENT APPOINTMENT,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",0.3747104,OTHERS,0.30567077
10403,NEW APPOINTMENT,NEW APPOINTMENT,0.9842552,NEW APPOINTMENT,0.9179741
1615,OTHERS,NEW APPOINTMENT,0.3029382,OTHERS,0.46130884
10430,NEW APPOINTMENT,NEW APPOINTMENT,0.98139864,NEW APPOINTMENT,0.9670805
3343,REFILL,REFILL,0.8762494,REFILL,0.8172214
7131,OTHERS,MEDICATION RELATED,0.59376276,MEDICATION RELATED,0.27545518
3624,MEDICATION RELATED,MEDICATION RELATED,0.6510842,MEDICATION RELATED,0.9893638
4677,REFILL,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",0.6439106,REFILL,0.52260804
1763,LAB RESULTS,LAB RESULTS,0.66370356,LAB RESULTS,0.9428287
2276,QUERIES FROM PHARMACY,REFILL,0.86420304,MEDICATION RELATED,0.45810714
10467,LAB RESULTS,REFILL,0.8003004,REFILL,0.63179797
10748,NEW APPOINTMENT,NEW APPOINTMENT,0.4755064,NEW APPOINTMENT,0.8408396
2340,MEDICATION RELATED,MEDICATION RELATED,0.4697018,MEDICATION RELATED,0.37368232
9271,NEW APPOINTMENT,NEW APPOINTMENT,0.71492344,NEW APPOINTMENT,0.9865537
6087,REFILL,MEDICATION RELATED,0.64302766,REFILL,0.7729773
5701,REFILL,REFILL,0.87008035,REFILL,0.93550617
6775,MEDICATION RELATED,MEDICATION RELATED,0.628315,MEDICATION RELATED,0.36624065
5566,REFILL,REFILL,0.9988009,REFILL,0.9470873
10528,PROVIDER,OTHERS,0.255398,MEDICATION RELATED,0.36624065
9078,NEW APPOINTMENT,REFILL,0.602809,REFILL,0.86512154
5240,"SHARING OF LAB RECORDS (FAX, E-MAIL, ETC.)",LAB RESULTS,0.67497,LAB RESULTS,0.8915751
9072,MEDICATION RELATED,MEDICATION RELATED,0.9015122,MEDICATION RELATED,0.79669845
8346,NEW APPOINTMENT,NEW APPOINTMENT,0.40842932,OTHERS,0.27335167
689,NEW APPOINTMENT,NEW APPOINTMENT,0.9842552,NEW APPOINTMENT,0.9179741
9954,MEDICATION RELATED,MEDICATION RELATED,0.30383632,MEDICATION RELATED,0.94378686
6682,OTHERS,OTHERS,0.34843528,OTHERS,0.36598822
9555,PROVIDER,PROVIDER,0.22814165,CHANGE OF PHARMACY,0.38351324
487,MEDICATION RELATED,RUNNING LATE TO APPOINTMENT,0.2234581,RESCHEDULING,0.7037041
1266,NEW APPOINTMENT,MEDICATION RELATED,0.24995078,MEDICATION RELATED,0.31927705
8055,PROVIDER,MEDICATION RELATED,0.47663695,PRIOR AUTHORIZATION,0.7091117
5537,NEW APPOINTMENT,NEW APPOINTMENT,0.98216736,NEW APPOINTMENT,0.96788245
5921,MEDICATION RELATED,REFILL,0.74215716,REFILL,0.48618832
2455,NEW APPOINTMENT,NEW APPOINTMENT,0.9916476,NEW APPOINTMENT,0.9366377
8315,NEW APPOINTMENT,MEDICATION RELATED,0.683324,MEDICATION RELATED,0.5850834
7606,NEW APPOINTMENT,MEDICATION RELATED,0.25165063,NEW APPOINTMENT,0.31441453
1055,MEDICATION RELATED,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",0.29328376,OTHERS,0.44907776
3745,REFILL,MEDICATION RELATED,0.42022356,REFILL,0.8224733
7854,NEW APPOINTMENT,NEW APPOINTMENT,0.90313023,NEW APPOINTMENT,0.95886004
7978,OTHERS,MEDICATION RELATED,0.30223322,MEDICATION RELATED,0.36624065
4821,PRIOR AUTHORIZATION,MEDICATION RELATED,0.48174724,PRIOR AUTHORIZATION,0.44190675
4464,RUNNING LATE TO APPOINTMENT,RUNNING LATE TO APPOINTMENT,0.96847814,RUNNING LATE TO APPOINTMENT,0.9890031
409,NEW APPOINTMENT,NEW APPOINTMENT,0.61736315,NEW APPOINTMENT,0.6949064
2516,REFILL,REFILL,0.602809,REFILL,0.86512154
4800,NEW APPOINTMENT,NEW APPOINTMENT,0.9842552,NEW APPOINTMENT,0.9179741
4406,CHANGE OF PROVIDER,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",0.68169403,CHANGE OF PROVIDER,0.69415176
2092,REFILL,REFILL,0.98807293,REFILL,0.9864842
1514,PRIOR AUTHORIZATION,MEDICATION RELATED,0.3847465,PRIOR AUTHORIZATION,0.7260787
10342,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",MEDICATION RELATED,0.47301948,MEDICATION RELATED,0.8342282
1609,NEW APPOINTMENT,NEW APPOINTMENT,0.69855887,NEW APPOINTMENT,0.53935957
9131,REFILL,REFILL,0.75852036,REFILL,0.7008337
4458,MEDICATION RELATED,MEDICATION RELATED,0.19213966,SYMPTOMS,0.74837047
7871,FOLLOW UP ON PREVIOUS REQUEST,PRIOR AUTHORIZATION,0.2992116,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",0.63121116
2001,OTHERS,REFILL,0.36260256,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",0.75244766
503,LAB RESULTS,NEW APPOINTMENT,0.32881337,LAB RESULTS,0.35470375
1832,QUERIES FROM PHARMACY,MEDICATION RELATED,0.43160295,REFILL,0.93617666
262,"SHARING OF LAB RECORDS (FAX, E-MAIL, ETC.)","SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",0.24406262,PROVIDER,0.968809
2940,MEDICATION RELATED,REFILL,0.71943146,NEW APPOINTMENT,0.52796084
97,REFILL,REFILL,0.70136243,REFILL,0.6283081
326,LAB RESULTS,LAB RESULTS,0.80813575,LAB RESULTS,0.9327788
4350,LAB RESULTS,LAB RESULTS,0.69985133,LAB RESULTS,0.5985061
9810,FOLLOW UP ON PREVIOUS REQUEST,PROVIDER,0.32797047,FOLLOW UP ON PREVIOUS REQUEST,0.9917498
1471,QUERY ON CURRENT APPOINTMENT,MEDICATION RELATED,0.40928972,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",0.42677078
677,MEDICATION RELATED,MEDICATION RELATED,0.845057,PROVIDER,0.25841016
8594,MEDICATION RELATED,REFILL,0.52332574,MEDICATION RELATED,0.712217
1596,REFILL,REFILL,0.4440244,REFILL,0.63340384
6,SYMPTOMS,MEDICATION RELATED,0.34691873,MEDICATION RELATED,0.4061354
706,REFILL,REFILL,0.63687205,REFILL,0.8782585
2332,RESCHEDULING,MEDICATION RELATED,0.32296804,NEW APPOINTMENT,0.6308287
10224,NEW APPOINTMENT,NEW APPOINTMENT,0.914108,NEW APPOINTMENT,0.931447
9047,REFILL,REFILL,0.9185902,REFILL,0.8377693
4754,SYMPTOMS,MEDICATION RELATED,0.5417661,MEDICATION RELATED,0.7265983
6677,REFILL,QUERIES FROM PHARMACY,0.72796535,REFILL,0.98911613
1538,SYMPTOMS,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",0.35877392,OTHERS,0.2886724
6781,PRIOR AUTHORIZATION,MEDICATION RELATED,0.69441444,PRIOR AUTHORIZATION,0.9687903
6953,CANCELLATION,NEW APPOINTMENT,0.8420072,REFILL,0.53579736
9375,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",MEDICATION RELATED,0.55235803,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",0.63160425
8267,NEW APPOINTMENT,QUERY ON CURRENT APPOINTMENT,0.67465603,NEW APPOINTMENT,0.6237982
4676,MEDICATION RELATED,MEDICATION RELATED,0.3841773,MEDICATION RELATED,0.94470304
4895,MEDICATION RELATED,MEDICATION RELATED,0.39103153,MEDICATION RELATED,0.61576915
10466,MEDICATION RELATED,OTHERS,0.32312912,NEW APPOINTMENT,0.5191499
9524,MEDICATION RELATED,MEDICATION RELATED,0.30223322,MEDICATION RELATED,0.36624065
9570,OTHERS,MEDICATION RELATED,0.5413544,MEDICATION RELATED,0.4585137
504,MEDICATION RELATED,MEDICATION RELATED,0.50213224,MEDICATION RELATED,0.8425217
4465,PRIOR AUTHORIZATION,RESCHEDULING,0.40795964,MEDICATION RELATED,0.9570593
6576,FOLLOW UP ON PREVIOUS REQUEST,MEDICATION RELATED,0.63863283,PRIOR AUTHORIZATION,0.66093946
8754,QUERIES FROM PHARMACY,MEDICATION RELATED,0.36667493,NEW APPOINTMENT,0.4322074
6721,REFILL,OTHERS,0.34843528,OTHERS,0.36598822
3454,QUERIES FROM PHARMACY,MEDICATION RELATED,0.35221493,QUERIES FROM INSURANCE FIRM,0.4475534
5507,LAB RESULTS,LAB RESULTS,0.9636108,LAB RESULTS,0.9987406
1499,REFILL,MEDICATION RELATED,0.8557916,QUERIES FROM PHARMACY,0.43048543
10192,OTHERS,MEDICATION RELATED,0.3642652,PRIOR AUTHORIZATION,0.27600378
7894,RUNNING LATE TO APPOINTMENT,RUNNING LATE TO APPOINTMENT,0.56820667,RUNNING LATE TO APPOINTMENT,0.99520206
4362,RESCHEDULING,MEDICATION RELATED,0.79584014,MEDICATION RELATED,0.35355377
2213,FOLLOW UP ON PREVIOUS REQUEST,MEDICATION RELATED,0.5598061,FOLLOW UP ON PREVIOUS REQUEST,0.62204593
7617,OTHERS,OTHERS,0.34843528,OTHERS,0.36598822
516,NEW APPOINTMENT,NEW APPOINTMENT,0.9642028,NEW APPOINTMENT,0.99304694
7400,MEDICATION RELATED,REFILL,0.73304105,MEDICATION RELATED,0.27841634
5072,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",NEW APPOINTMENT,0.8259002,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",0.4175287
8937,REFILL,REFILL,0.97043645,REFILL,0.9293865
9142,QUERIES FROM PHARMACY,QUERIES FROM PHARMACY,0.42027283,CHANGE OF PROVIDER,0.93126935
1828,PROVIDER,PROVIDER,0.2721486,PROVIDER,0.92083997
9979,REFILL,REFILL,0.97363836,REFILL,0.7145094
974,QUERIES FROM PHARMACY,PRIOR AUTHORIZATION,0.52406627,PRIOR AUTHORIZATION,0.9176355
5942,MEDICATION RELATED,OTHERS,0.34843528,OTHERS,0.36598822
5640,REFILL,REFILL,0.9937593,REFILL,0.970335
6089,CHANGE OF PROVIDER,OTHERS,0.34843528,OTHERS,0.36598822
4611,MEDICATION RELATED,REFILL,0.77975833,REFILL,0.6283081
4806,REFILL,REFILL,0.9976307,REFILL,0.99694246
4480,REFILL,REFILL,0.5718775,MEDICATION RELATED,0.61345124
354,PROVIDER,PRIOR AUTHORIZATION,0.25096032,PROVIDER,0.99133027
1581,QUERY ON CURRENT APPOINTMENT,NEW APPOINTMENT,0.95212436,NEW APPOINTMENT,0.91886246
820,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",NEW APPOINTMENT,0.6737016,RESCHEDULING,0.3112198
8318,LAB RESULTS,LAB RESULTS,0.8358421,LAB RESULTS,0.79722077
4454,NEW APPOINTMENT,NEW APPOINTMENT,0.42382672,NEW APPOINTMENT,0.76957184
917,MEDICATION RELATED,OTHERS,0.36867294,NEW APPOINTMENT,0.39510468
4058,PROVIDER,PROVIDER,0.500502,MEDICATION RELATED,0.37690514
3988,NEW APPOINTMENT,NEW APPOINTMENT,0.9842552,NEW APPOINTMENT,0.9179741
5233,MEDICATION RELATED,MEDICATION RELATED,0.5045078,MEDICATION RELATED,0.7268482
10234,PROVIDER,OTHERS,0.255398,MEDICATION RELATED,0.36624065
8023,QUERIES FROM PHARMACY,REFILL,0.44627976,FOLLOW UP ON PREVIOUS REQUEST,0.39174852
9022,RESCHEDULING,MEDICATION RELATED,0.5444613,MEDICATION RELATED,0.66264814
5653,REFILL,REFILL,0.985342,REFILL,0.9784006
4395,CHANGE OF HOSPITAL,MEDICATION RELATED,0.21323735,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",0.4773898
3910,NEW APPOINTMENT,NEW APPOINTMENT,0.98902917,NEW APPOINTMENT,0.95222497
3324,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",MEDICATION RELATED,0.71883905,MEDICATION RELATED,0.34901118
2756,REFILL,REFILL,0.9959223,REFILL,0.9953288
6519,MEDICATION RELATED,NEW APPOINTMENT,0.19066666,MEDICATION RELATED,0.3764811
1379,MEDICATION RELATED,MEDICATION RELATED,0.30223322,MEDICATION RELATED,0.36624065
6119,QUERIES FROM PHARMACY,REFILL,0.26785758,MEDICATION RELATED,0.38091174
5851,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",MEDICATION RELATED,0.3917648,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",0.7110115
107,MEDICATION RELATED,MEDICATION RELATED,0.64557105,MEDICATION RELATED,0.7734174
1629,REFILL,REFILL,0.280542,REFILL,0.9235953
6240,CANCELLATION,OTHERS,0.34843528,OTHERS,0.36598822
1241,REFILL,MEDICATION RELATED,0.72103494,REFILL,0.86460245
7793,NEW APPOINTMENT,REFILL,0.43666163,MEDICATION RELATED,0.2580836
2971,PROVIDER,REFILL,0.8661926,REFILL,0.7925867
6036,MEDICATION RELATED,OTHERS,0.35202447,MEDICATION RELATED,0.36439356
1524,"SHARING OF LAB RECORDS (FAX, E-MAIL, ETC.)","SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",0.3341636,PROVIDER,0.2755896
3991,REFILL,REFILL,0.94805527,REFILL,0.8803614
4711,REFILL,NEW APPOINTMENT,0.69855887,NEW APPOINTMENT,0.53935957
2900,RUNNING LATE TO APPOINTMENT,RUNNING LATE TO APPOINTMENT,0.96847814,RUNNING LATE TO APPOINTMENT,0.9890031
7094,MEDICATION RELATED,MEDICATION RELATED,0.30223322,MEDICATION RELATED,0.36624065
8729,PROVIDER,PROVIDER,0.53868306,PROVIDER,0.96474206
3425,NEW APPOINTMENT,NEW APPOINTMENT,0.91549224,NEW APPOINTMENT,0.93093884
8600,MEDICATION RELATED,CANCELLATION,0.37997434,MEDICATION RELATED,0.8103155
4250,MEDICATION RELATED,OTHERS,0.37408182,MEDICATION RELATED,0.8550458
6139,REFILL,QUERIES FROM PHARMACY,0.7780748,REFILL,0.69111097
1258,REFILL,REFILL,0.9542032,REFILL,0.9654497
5770,OTHERS,MEDICATION RELATED,0.6707639,MEDICATION RELATED,0.36624065
1308,NEW APPOINTMENT,NEW APPOINTMENT,0.90801316,NEW APPOINTMENT,0.85549664
6509,MEDICATION RELATED,OTHERS,0.34843528,OTHERS,0.36598822
1216,MEDICATION RELATED,MEDICATION RELATED,0.59169614,MEDICATION RELATED,0.3201531
4610,NEW APPOINTMENT,NEW APPOINTMENT,0.7307804,NEW APPOINTMENT,0.32471606
1021,NEW APPOINTMENT,NEW APPOINTMENT,0.9840486,NEW APPOINTMENT,0.58982676
5726,REFILL,REFILL,0.95362616,REFILL,0.9627849
4278,OTHERS,MEDICATION RELATED,0.5523776,OTHERS,0.2809321
4288,NEW APPOINTMENT,NEW APPOINTMENT,0.5605603,NEW APPOINTMENT,0.80121636
2347,REFILL,MEDICATION RELATED,0.32675296,OTHERS,0.3900142
1225,OTHERS,MEDICATION RELATED,0.62803733,MEDICATION RELATED,0.83912235
5083,PRIOR AUTHORIZATION,MEDICATION RELATED,0.4493305,PRIOR AUTHORIZATION,0.4317512
8563,REFILL,MEDICATION RELATED,0.48452312,MEDICATION RELATED,0.297943
9554,PROVIDER,NEW APPOINTMENT,0.36807457,MEDICATION RELATED,0.3179196
1997,PROVIDER,MEDICATION RELATED,0.5407181,PROVIDER,0.9543635
1124,REFILL,REFILL,0.73495907,REFILL,0.5071295
1583,NEW APPOINTMENT,MEDICATION RELATED,0.32972673,MEDICATION RELATED,0.41342783
10311,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)","SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",0.89442194,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",0.480314
4681,NEW APPOINTMENT,REFILL,0.9830194,REFILL,0.94584304
3490,"SHARING OF LAB RECORDS (FAX, E-MAIL, ETC.)",MEDICATION RELATED,0.6553342,MEDICATION RELATED,0.8701975
879,LAB RESULTS,LAB RESULTS,0.9343985,LAB RESULTS,0.9639324
5587,REFILL,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",0.31834963,REFILL,0.29475775
3269,NEW APPOINTMENT,MEDICATION RELATED,0.3602943,OTHERS,0.30376038
1355,NEW APPOINTMENT,OTHERS,0.34843528,OTHERS,0.36598822
9642,LAB RESULTS,NEW APPOINTMENT,0.34419972,LAB RESULTS,0.99169135
276,MEDICATION RELATED,FOLLOW UP ON PREVIOUS REQUEST,0.56168807,MEDICATION RELATED,0.40850836
55,OTHERS,NEW APPOINTMENT,0.3125999,OTHERS,0.29673257
2280,QUERIES FROM PHARMACY,MEDICATION RELATED,0.2862385,MEDICATION RELATED,0.658963
1953,REFILL,REFILL,0.76524353,REFILL,0.8527388
9191,REFILL,REFILL,0.85640055,REFILL,0.6655139
8220,RESCHEDULING,MEDICATION RELATED,0.7269648,RESCHEDULING,0.29184094
6855,QUERIES FROM PHARMACY,MEDICATION RELATED,0.43737388,QUERIES FROM PHARMACY,0.61263657
7029,LAB RESULTS,"SHARING OF LAB RECORDS (FAX, E-MAIL, ETC.)",0.49605614,LAB RESULTS,0.78890187
6251,PROVIDER,LAB RESULTS,0.6592635,PROVIDER,0.3639991
5927,NEW APPOINTMENT,NEW APPOINTMENT,0.90478635,NEW APPOINTMENT,0.80415475
9166,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)","SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",0.43236572,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",0.76965135
10129,MEDICATION RELATED,MEDICATION RELATED,0.29517812,MEDICATION RELATED,0.91973716
9257,NEW APPOINTMENT,NEW APPOINTMENT,0.92435443,NEW APPOINTMENT,0.89800185
947,NEW APPOINTMENT,NEW APPOINTMENT,0.57454485,NEW APPOINTMENT,0.60354024
8554,NEW APPOINTMENT,NEW APPOINTMENT,0.5987778,NEW APPOINTMENT,0.7507968
5172,MEDICATION RELATED,REFILL,0.56084573,MEDICATION RELATED,0.36624065
9163,MEDICATION RELATED,OTHERS,0.51557934,MEDICATION RELATED,0.899286
5382,MEDICATION RELATED,REFILL,0.32998562,REFILL,0.83590287
9610,OTHERS,OTHERS,0.34843528,OTHERS,0.36598822
1414,NEW APPOINTMENT,NEW APPOINTMENT,0.91884387,MEDICATION RELATED,0.28603366
544,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)","SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",0.33898333,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",0.65283024
